analysis_version,variant_label,policy_sha256,policy_serialized,retirement_result_delta_multiplier,retirement_updates_participation,probable_duplicate_mode,tour,selection_step,candidate,model,window,matches,brier_score,log_loss,accuracy,selected_surface_parameters
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k16-fixed-half1825-w0.5-bof,overall_elo,1978-1982,17502,0.19949043867093338,0.5825888510993517,0.68695006284996,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k16-fixed-half1825-w0.5-bof,overall_elo,1983-1987,14604,0.2144976765080354,0.616305893996154,0.6524924678170364,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k16-rank-half0-w0.5-no-bof,overall_elo,1978-1982,17502,0.1993013336989074,0.5815041520328109,0.6878071077591132,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k16-rank-half0-w0.5-no-bof,overall_elo,1983-1987,14604,0.22109698813602924,0.6347566707959059,0.6500273897562312,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k16-rank-half0-w0.5-bof,overall_elo,1978-1982,17502,0.19921294998296335,0.5813067806501586,0.6877499714318364,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k16-rank-half0-w0.5-bof,overall_elo,1983-1987,14604,0.22120611749478092,0.6354819304902466,0.6498904409750753,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k16-rank-half1095-w0.5-no-bof,overall_elo,1978-1982,17502,0.20137226138616146,0.5876271119181233,0.6850645640498229,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k16-rank-half1095-w0.5-no-bof,overall_elo,1983-1987,14604,0.21719082278691954,0.6229554308018987,0.6505067104902766,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k16-rank-half1095-w0.5-bof,overall_elo,1978-1982,17502,0.20131358202122887,0.5874567761513129,0.6852359730316535,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k16-rank-half1095-w0.5-bof,overall_elo,1983-1987,14604,0.21728319827041226,0.6232330534950082,0.6500273897562312,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k16-rank-half1825-w0.5-no-bof,overall_elo,1978-1982,17502,0.1995694678842293,0.582747140468369,0.6868929265226831,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k16-rank-half1825-w0.5-no-bof,overall_elo,1983-1987,14604,0.21715187309849485,0.622860259973432,0.6518077239112572,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k16-rank-half1825-w0.5-bof,overall_elo,1978-1982,17502,0.19951967687612562,0.5826019106946722,0.6867215175408524,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k16-rank-half1825-w0.5-bof,overall_elo,1983-1987,14604,0.2172681731554019,0.6232722010527155,0.6519446726924131,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-fixed-half0-w0.5-no-bof,overall_elo,1978-1982,17502,0.19680183023084669,0.5761295879077339,0.6928351045594789,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-fixed-half0-w0.5-no-bof,overall_elo,1983-1987,14604,0.21443392697324826,0.6168238036748165,0.656463982470556,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-fixed-half0-w0.5-bof,overall_elo,1978-1982,17502,0.19674178128570366,0.5760062708755759,0.6934636041595246,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-fixed-half0-w0.5-bof,overall_elo,1983-1987,14604,0.2143707317550399,0.6167368003028355,0.6569433032046015,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-fixed-half1095-w0.5-no-bof,overall_elo,1978-1982,17502,0.19840042961874949,0.5801028529483725,0.6895211975774197,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-fixed-half1095-w0.5-no-bof,overall_elo,1983-1987,14604,0.2133632414846795,0.6137682491424117,0.6560531361270885,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-fixed-half1095-w0.5-bof,overall_elo,1978-1982,17502,0.19837932904604952,0.5800366157569071,0.6896926065592504,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-fixed-half1095-w0.5-bof,overall_elo,1983-1987,14604,0.21333922557209226,0.6136533421315494,0.6552314434401534,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-fixed-half1825-w0.5-no-bof,overall_elo,1978-1982,17502,0.19692826629417728,0.5762001388942902,0.6920923323048794,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-fixed-half1825-w0.5-no-bof,overall_elo,1983-1987,14604,0.21268027323245445,0.6119271409473603,0.6569433032046015,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-fixed-half1825-w0.5-bof,overall_elo,1978-1982,17502,0.19691322806850742,0.5761564337398799,0.6924351502685407,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-fixed-half1825-w0.5-bof,overall_elo,1983-1987,14604,0.21265709368827238,0.6118351932626453,0.6570802519857574,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-rank-half0-w0.5-no-bof,overall_elo,1978-1982,17502,0.19700892689874572,0.5766298574520988,0.6930065135413096,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-rank-half0-w0.5-no-bof,overall_elo,1983-1987,14604,0.21906954496329475,0.6310233586965024,0.6533141605039715,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-rank-half0-w0.5-bof,overall_elo,1978-1982,17502,0.19695326815582084,0.576529163034982,0.6934636041595246,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-rank-half0-w0.5-bof,overall_elo,1983-1987,14604,0.2191861752618182,0.6317299875192647,0.6537250068474391,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-rank-half1095-w0.5-no-bof,overall_elo,1978-1982,17502,0.19837031920366557,0.5800002647623284,0.6894069249228659,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-rank-half1095-w0.5-no-bof,overall_elo,1983-1987,14604,0.21503578125232234,0.6177695361398281,0.6535195836757053,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-rank-half1095-w0.5-bof,overall_elo,1978-1982,17502,0.19835221306473508,0.5799395171147379,0.6898068792138041,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-rank-half1095-w0.5-bof,overall_elo,1983-1987,14604,0.2151610545338662,0.6181146631432114,0.6530402629416598,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-rank-half1825-w0.5-no-bof,overall_elo,1978-1982,17502,0.1969611549137719,0.5762351257942159,0.6919209233230488,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-rank-half1825-w0.5-no-bof,overall_elo,1983-1987,14604,0.2152190248950253,0.6184398163907687,0.6566694056422898,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-rank-half1825-w0.5-bof,overall_elo,1978-1982,17502,0.19695016604390564,0.5762014526870458,0.6920351959776025,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k24-rank-half1825-w0.5-bof,overall_elo,1983-1987,14604,0.21536106874584182,0.6189045636453009,0.6568748288140236,False
rating-history-sensitivities-v1,retirement_no_result_delta,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,"{""family"":""retirement"",""label"":""retirement_no_result_delta"",""probable_duplicate_mode"":""current"",""probable_duplicate_representative_order"":[""source_file"",""source_row_number"",""match_id""],""retirement_result_delta_multiplier"":0.0,""retirement_updates_participation"":true,""schema_version"":1}",0.0,True,current,ATP,overall,k32-fixed-half0-w0.5-no-bof,overall_elo,1978-1982,17502,0.19607351301202805,0.5750457167038884,0.6944920580505085,False
